id,disease_name,pathogenesis,etiology,treatment_challenges
disease_0,Chlamydia,infectious_bacterial,sexually transmitted infection,
disease_2,Pleural Effusion,inflammatory||infectious_bacterial||vascular||other,pneumonia||pulmonary embolism||kidney disease||congestive heart failure,
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious_bacterial||inflammatory||vascular,Rickettsia rickettsii infection||tick-borne,higher risk of death with antibiotics other than doxycycline
disease_16,Legionnaires' Disease,infectious_bacterial,"Legionella bacteria in water systems such as poorly maintained air-conditioners, residential hot water systems and swimming pools",
disease_23,Urinary Tract Infection,infectious_bacterial||inflammatory,bacterial exposure||injury,drug resistance
disease_30,Ear Infections,infectious_bacterial||infectious_viral||inflammatory,bacterial infection||viral infection,frequent relapse||symptom masking
disease_31,Lyme Disease,infectious_bacterial,,
disease_42,Low Back Pain,degenerative||inflammatory||traumatic||infectious_bacterial||neoplastic||idiopathic||other,musculoskeletal_strain||herniated_disc||compressed_nerve_root||degenerative_disc||joint_disease||vertebral_fracture||tumor||inflammatory_condition||infection||gallbladder_disease||kidney_stone||kidney_infection||aortic_aneurysm,side_effects||addiction_risk||negative_drug_interactions
disease_43,Acne,infectious_bacterial||inflammatory,,drug resistance||side effects
disease_44,Periodontal Disease,infectious_bacterial||inflammatory,bacteria||genes||disease||trauma,
disease_54,Immune Reconstitution Syndrome (IRS),inflammatory||infectious_bacterial||infectious_viral||infectious_fungal||iatrogenic,initiation of HAART in HIV-infected patients,
disease_59,Tuberculosis,infectious_bacterial||inflammatory,Mycobacterium tuberculosis infection,
disease_63,Acute Bacterial Prostatitis,infectious_bacterial||inflammatory,bacteria based in the large intestines or urinary tract,
disease_90,Peritonitis,infectious_bacterial||inflammatory,Staphylococcus aureus||Ewingella americana||disruption of the peritoneum||catheterization||hospital water sources,
disease_93,Drug Resistant Tuberculosis (DR TB),infectious_bacterial,drug resistance||bacterial infection,drug resistance||poor response to first-line drugs
disease_97,Gut Microbiome Imbalance,iatrogenic||infectious_bacterial||nutritional_deficiency||other,medication use||antibiotics||lack of exposure to germs and bacteria,
disease_99,Leptospirosis,infectious_bacterial,"Infected animals spread the disease through their urine. Places that attract large numbers of dogs and humans, like dog parks, tend to serve as the epicenter for infection. Contaminated water is the most common means of exposure, but contact with infected food or soil can also transmit lepto. Since the bacteria can live in the environment for months, you will need to keep prevention measures in mind even after the epidemic slows down.","Late discovery of the disease reduces survival chances. The vaccine remains in development, so it may not be effective for all cases. ... Also, the vaccination often works just for the short term."
